date,code,usdprice
#date,#meta+code,#value+usd
1994-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.239
1994-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3188
1994-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2709
1994-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.255
1994-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2868
1994-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2549
1995-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2773
1995-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2707
1995-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2702
1995-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2862
1995-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2707
1995-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2705
1995-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2706
1995-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2689
1995-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2733
1995-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2624
1995-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2588
1995-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2567
1996-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2513
1996-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2519
1996-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2594
1996-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2614
1996-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2587
1996-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2566
1996-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2687
1996-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2663
1996-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.266
1996-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2659
1996-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.28
1996-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.279
1997-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2785
1997-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3065
1997-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3064
1997-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3348
1997-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2794
1997-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2793
1997-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2796
1997-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2776
1997-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2757
1997-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2894
1997-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2801
1997-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3084
1998-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3069
1998-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3067
1998-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3046
1998-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3029
1998-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2957
1998-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2858
1998-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2823
1998-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.282
1998-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3058
1998-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3182
1998-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3176
1998-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3172
1999-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3177
1999-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2824
1999-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2591
1999-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2581
1999-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3035
1999-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3016
1999-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3
1999-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2997
1999-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2871
1999-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2872
1999-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2872
1999-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2879
1999-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2877
2000-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2927
2000-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2923
2000-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2923
2000-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3036
2000-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3004
2000-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2969
2000-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.29
2000-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2865
2000-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2667
2000-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2585
2000-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.267
2000-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2671
2001-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2683
2001-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2687
2001-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2681
2001-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2781
2001-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2451
2001-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2446
2001-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2442
2001-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2439
2001-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2421
2001-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2369
2001-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2397
2001-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2392
2002-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2377
2002-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2361
2002-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2356
2002-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2557
2002-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2653
2002-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2554
2002-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2358
2002-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2366
2002-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2374
2002-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2376
2002-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2379
2002-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2388
2003-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.24
2003-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2409
2003-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2415
2003-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2318
2003-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2331
2003-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2353
2003-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2375
2003-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2391
2003-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2399
2003-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2413
2003-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2411
2003-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2419
2004-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2426
2004-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2429
2004-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2435
2004-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2511
2004-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2447
2004-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.243
2004-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.239
2004-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2371
2004-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2514
2004-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2514
2004-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2557
2004-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2618
2005-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2635
2005-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2629
2005-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2645
2005-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2632
2005-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2691
2005-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2701
2005-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2703
2005-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2647
2005-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2626
2005-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2582
2005-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2524
2005-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2543
2006-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2579
2006-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2661
2006-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2778
2006-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2735
2006-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2763
2006-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2729
2006-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2731
2006-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2692
2006-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2714
2006-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2857
2006-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2877
2006-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2923
2007-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2946
2007-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.2954
2007-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3001
2007-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3122
2007-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3302
2007-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3275
2007-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3264
2007-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3364
2007-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3408
2007-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3632
2007-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3634
2007-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3856
2008-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4082
2008-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4042
2008-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4005
2008-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4014
2008-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3776
2008-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4092
2008-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3943
2008-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3943
2008-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3709
2008-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3615
2008-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3532
2008-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3685
2009-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3698
2009-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3605
2009-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3541
2009-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3629
2009-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.344
2009-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3556
2009-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.3935
2009-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.402
2009-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4023
2009-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4135
2009-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4067
2009-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4067
2010-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4585
2010-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.41
2010-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4171
2010-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.429
2010-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4404
2010-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.431
2010-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4306
2010-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4277
2010-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4551
2010-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4765
2010-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4466
2010-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4453
2011-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4409
2011-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.441
2011-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4227
2011-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4405
2011-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.439
2011-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4359
2011-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.459
2011-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4803
2011-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4683
2011-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4448
2011-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4346
2011-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4107
2012-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4269
2012-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4457
2012-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4408
2012-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4244
2012-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.46
2012-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4808
2012-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4825
2012-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.5014
2012-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.463
2012-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4735
2012-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4613
2012-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4818
2013-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4771
2013-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4822
2013-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4784
2013-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4905
2013-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.5009
2013-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4961
2013-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.501
2013-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4622
2013-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4275
2013-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4531
2013-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.46
2013-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.479
2014-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.488
2014-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4894
2014-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4977
2014-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4972
2014-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.5051
2014-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.5037
2014-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.504
2014-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4947
2014-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4947
2014-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4887
2014-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4863
2014-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4799
2015-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4832
2015-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4856
2015-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4825
2015-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4814
2015-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4731
2015-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4681
2015-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4738
2015-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4607
2015-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4524
2015-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4626
2015-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4544
2015-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4473
2016-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4457
2016-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4405
2016-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4466
2016-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4482
2016-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4416
2016-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4473
2016-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4599
2016-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4484
2016-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4494
2016-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4494
2016-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4426
2016-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4423
2017-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4419
2017-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4397
2017-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4409
2017-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4494
2017-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.452
2017-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.452
2017-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4502
2017-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.46
2017-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4676
2017-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.457
2017-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4514
2017-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4667
2018-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4911
2018-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4965
2018-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4781
2018-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4775
2018-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4728
2018-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4638
2018-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4378
2018-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4432
2018-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4303
2018-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4072
2018-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.413
2018-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4428
2019-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4597
2019-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4647
2019-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4624
2019-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4193
2019-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4135
2019-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4301
2019-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4273
2019-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4188
2019-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4275
2019-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4253
2019-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4308
2019-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4335
2020-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4458
2020-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4314
2020-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4223
2020-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4087
2020-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4158
2020-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.445
2020-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4363
2020-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4282
2020-09-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4211
2020-10-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.422
2020-11-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4186
2020-12-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4454
2021-01-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4574
2021-02-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4354
2021-03-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4349
2021-04-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4168
2021-05-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4313
2021-06-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4742
2021-07-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4492
2021-08-15,Maharashtra-Mumbai city-Mumbai-Rice-KG-INR,0.4272
